Id	CID	CASIdentifier	Name	IUPAC	InChIKey	InChI	SMILES
CAS:99294-93-6	57487	CAS:99294-93-6	Bikalm	(2R,3R)-2,3-dihydroxybutanedioic acid;N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetamide	NYVVVBWEVRSKIU-LREBCSMRSA-N	InChI=1S/C19H21N3O.C4H6O6/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19;5-1(3(7)8)2(6)4(9)10/h5-10,12H,11H2,1-4H3;1-2,5-6H,(H,7,8)(H,9,10)/t;1-,2-/m.1/s1	CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C.C(C(C(=O)O)O)(C(=O)O)O
CAS:120-12-7	8418	CAS:120-12-7	Anthracene	anthracene	MWPLVEDNUUSJAV-UHFFFAOYSA-N	InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H	C1=CC=C2C=C3C=CC=CC3=CC2=C1
CAS:63449-39-8	6537497	CAS:63449-39-8	Chlorowax 40	4,8,11,14,17,21-hexachlorotetracosane	QKUNKVYPGIOQNP-UHFFFAOYSA-N	InChI=1S/C24H44Cl6/c1-3-7-19(25)9-5-11-21(27)13-15-23(29)17-18-24(30)16-14-22(28)12-6-10-20(26)8-4-2/h19-24H,3-18H2,1-2H3	CCCC(CCCC(CCC(CCC(CCC(CCCC(CCC)Cl)Cl)Cl)Cl)Cl)Cl
CAS:506-30-9	10467	CAS:506-30-9	Arachidic acid	icosanoic acid	VKOBVWXKNCXXDE-UHFFFAOYSA-N	InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)	CCCCCCCCCCCCCCCCCCCC(=O)O
CAS:124-58-3	8948	CAS:124-58-3	Methylarsonic acid	methylarsonic acid	QYPPRTNMGCREIM-UHFFFAOYSA-N	InChI=1S/CH5AsO3/c1-2(3,4)5/h1H3,(H2,3,4,5)	C[As](=O)(O)O
CAS:25400-23-1	161491	CAS:25400-23-1	Methylarsonous acid	methylarsonous acid	OXBIRPQQKCQWGV-UHFFFAOYSA-N	InChI=1S/CH5AsO2/c1-2(3)4/h3-4H,1H3	C[As](O)O
CAS:63936-56-1	45472	CAS:63936-56-1	Nonabromodiphenyl ether	1,2,3,4,5-pentabromo-6-(2,3,4,5-tetrabromophenoxy)benzene	CYRHBNRLQMLULE-UHFFFAOYSA-N	InChI=1S/C12HBr9O/c13-2-1-3(5(15)6(16)4(2)14)22-12-10(20)8(18)7(17)9(19)11(12)21/h1H	C1=C(C(=C(C(=C1Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br
CAS:87-82-1	6905	CAS:87-82-1	Hexabromobenzene	1,2,3,4,5,6-hexabromobenzene	CAYGQBVSOZLICD-UHFFFAOYSA-N	InChI=1S/C6Br6/c7-1-2(8)4(10)6(12)5(11)3(1)9	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)Br
CAS:108-86-1	7961	CAS:108-86-1	Bromobenzene	bromobenzene	QARVLSVVCXYDNA-UHFFFAOYSA-N	InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H	C1=CC=C(C=C1)Br
CAS:29082-74-4	34466	CAS:29082-74-4	Octachlorostyrene	1,2,3,4,5-pentachloro-6-(1,2,2-trichloroethenyl)benzene	RUYUCCQRWINUHE-UHFFFAOYSA-N	InChI=1S/C8Cl8/c9-2-1(4(11)8(15)16)3(10)6(13)7(14)5(2)12	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl
CAS:12408-10-5	7270	CAS:12408-10-5	1,2,4,5-Tetrachlorobenzene	1,2,4,5-tetrachlorobenzene	JHBKHLUZVFWLAG-UHFFFAOYSA-N	InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H	C1=C(C(=CC(=C1Cl)Cl)Cl)Cl
CAS:129-00-0	31423	CAS:129-00-0	Pyrene	pyrene	BBEAQIROQSPTKN-UHFFFAOYSA-N	InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
CAS:74-83-9	6323	CAS:74-83-9	Bromomethane	bromomethane	GZUXJHMPEANEGY-UHFFFAOYSA-N	InChI=1S/CH3Br/c1-2/h1H3	CBr
CAS:126-73-8	31357	CAS:126-73-8	Tributyl phosphate	tributyl phosphate	STCOOQWBFONSKY-UHFFFAOYSA-N	InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3	CCCCOP(=O)(OCCCC)OCCCC
CAS:111-11-5	8091	CAS:111-11-5	Methyl octanoate	methyl octanoate	JGHZJRVDZXSNKQ-UHFFFAOYSA-N	InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3	CCCCCCCC(=O)OC
